  4470 vectors within the range 119.98 120.02
 -101  -36   98    -42  209   49     0.186174  -1.100208
  -95    7 2744    -84  064 -101    -0.766403   1    -1.273956   33  -66    -3   512    2     1.511954  -2111 544
 -111   28  622   -10886761   44     0.7  2.263  -96      -107   19  - -11   63  035   44.864890
 -112  -0.006528
 -116  -67  7   2   6   928   -6     0.968748  - 1.54169
 -114  -65   90    -37  323  -5072
 -10350719  -0107  -    1.369 -6  -12    -6031575  -34    -0.558252  -041
 -    -0.07  41  684.00861.9 33    48    -0.183014   01.905537 -109  -35 -80     -89 -4 3 -112    -0.009900  -479
  -96  -99  -54 03 -20  -37  399   -4     1.693046  -222
 -11069954   17   580.2374  -327   36     0.248630   2.  -106
 -112   40 37       3626004   96     0.790601   4     0.758613  -10   63    -9038  6  -27    -0.877211    -90       109   -4 9  -5   -55 3693   50     0.057857  -0.344346
 6423   07   20   -104 59 3 -105     1.141631   0.668747
 -103   42  -1106
 -1  -650 -1020.824893 5048   2.799092
  -96  -33 -2     -117   82    5 217321
  -92  -3    -9623742
 - -73  -9      0 -88   -87    -1.349212  8428
  -89 -117   15 41       91 2292   89     0.254546  -0.649341
 -109  -29  - -81  -24    1    105
 -102 0588  -0.2
  -99 9691   06   51     77807-3 -105     1.043085   177
 -113 -109   20 0699.318884  930  -40.83230.853929   1.664243
  -90  --71  38    156   86   80     0.707070   209
 -112  -99  -41 8911     1382113  -98     0.570933   0.308287
  -92  -77 2675     -6 20 7  -95     1.636676  -0     1.145263   11  -64.87473   272   78     0.299909  -0.256490
 -106   53   48.664241  -09   -4    -0.308050   305
  .195934
 -  85  890.21156  110  -41.19190.648015  7479
  -96  -89   109   070
 -18  372   69    -0.163664  -3.481256
 -120    83  07     775  -7    4    -0.570933    0.309778  108  -52 1984    -2681895   -4.514981
36676  -00.302392 -102   -5 8 -87     647796   59     0.293750  -1..7375085255
  -41   22   -10562637 -101.191909
40195  -0.691350
 -109   35 4 -4 4
 -1  -7-2  -7 1.1721.120028   21.366695 -112   22 6349   -115  736   21     1.317942  -0.907583
  -90  -52   78    -696   6  114     0.196584   651
 -120 -109  -41  768    1093 77    59    -0.968517  -1.830351
  -96   -2   1095
 -1   449   20     0.176490   9258  56
  -09   35  80      83 -918   83    -0.030793    0.801561  110   44 -88    -11467 77   68     0.406515    1.140024  110  -44   -2   -1142337   -22     0.02 -96  -1.868679
 -113   27   84112  48 -904  119 9
 -107 4780   0.338092
 269
 --109  81    -2  -  10 -77     0.596786  - 0.305235  111  -28 9625    38   062   60    -0.098646  -856
  -91  -89    9  514    119    3   92     0.393608  -2     0.801561  -00  -88646   2  904  -10    -0.205634    -90  0.595694  -0 4  29106  3  -770 -110     1.468282   2.515095
 -105   -3 66      -84 -904  -96 582981
  -92   70.794584  109  -46 0073    -645 -4   -77    -0.810389  -2.   -0.687757    73 690    -5546619  117    -0.794584  -0.298193
 -119   15 4761    15  -522 -112    -0.738722  -2.730887
 1.583 -49  -36    114  274   71     0.574780   1.162971
  -89  -33  -06     54 -110   78    -0.013509  -2     1.0  -88  -62 7128     62   85  102    -1.022043  -537
 -118  107  - 16  77     4347999  116    -0.479815  -343
  -96 4119  -21    1     64  362  112     1.002945  -161
 -109  113  -30 6782     2  -  -2  91    -0.01 -90  -7.187756
  -95  -757  41    63   749   -4    -1.513180   236
 -115 -109  --84  96    -55  889  -11    -0.150182  -0    -1.316726  -100  66     0   516   78     0.591432  -2     -92  117  -22    -6  -75  -352  103 067587
  -97  -6    -0.737515  -11  -14     1    06  -27    -2.140991  -0..640487  -98  - 7   12.24362. -538  -47     0.046690  -2117  .660885
  -36  -23    -8174 68   56    -0.458133   2     1.172234  -13   6399
  1  -528   83    -1.856190   1.303488
 -102   36  8  38  -26 3-4   -52     1.387015  -3.0535.502971
 - -77  26    -1   179   81    -0.14 -96  -371
 -106  -92   -3  747    -4084652  -16     0.102241   0.604743
  -96    2 44      -894  53   68     0.375804  -265
 -119  102  -36 0327    -96 9657  -44.458721
 -103  -3     .1009108   35   -61  -15   856  -21 064388
 -107  -2.099612
  -96  -36    -43  -80     8   7    -0.232203   056
  -91  -93  -50 -108   -10027181  -86    -0.063809  --1.125167  100  -61 4101    -37  699   -4    -0.269954   9     1.302233    2    -31 -20  -6 6   69     0.560378   042
  -96  -92   -2 3  64    33 7810 -120     1.097686   0.474280
 -102   -5  1  48  -95   -91  63    -1.6  -88  3742
 -112  102   -5 1  -8    62 16    -67    -0.901853  -20.473560  -91   -6  73896
 -1  -723  -85     0.678488  -055
  -96 -109    4 3561     31 -169   54     1.761088  -0   -151
 -188  -80  48 117  7   772   -2    -0.253643   029
  -98  -91  -61 8 49    -76 84 9   11.514608
 -103   1.898096
  -92  -40  -57     48  286  -70     1.081269  -0     0.023512  -48  018     -1 6081   -6     0.850002  -1    -0.576649  -11  -2508
  4   552  -3610
  -95 3566   347
  -98  -95    7   -7     -38 -26  -29    996
 -106   4.778919
  -96   -3  -66    -87   40  -26     0.209475   -116  48
  119    64  0341
 -78  -49   12.260269
 -106   1.019901
 3956   077  85    -63649     86    -0.473560  95    -0.457776   18   42    -4   532   89    -0.744227   2.725325
  -96   140 -12    -43737    -47   6905
 -104   -0.38230
 -115   72     51  36  3915   22    -1.565439  3845
 -104  591   111  34     29 312   -44     0.4 -109  -332
  -88  -96  -31 50        2 1   6 -53     0.232203   0.204585
  -91   78 80      102603-4  -34     0.119628    0.443002 -108  -52 0172      7 3  8  -56    -0.644828   367
  -90 -102   -5 6811    -647 -65  -80    -1.323109  -1    -0.521673  --2   37    -1  -472    1    -1.541494  -1.   -0.211985   124  83    48    01  -52    -0.480518   166
 -109  109   36    0     92 23-6  117    -0.387015  -2    -0.672112  --3  -21   -109  -80    9    -0.75 -96  -332
 -109 -118    97  -1    -2306541  -49 2
 -109 -108  -203
 -107 888
  -72   46   - 0    47   68    -0.261.452996357  -   -0.35  57   69     -3 48 1  -78    -0.899190  -1     0.119628   15  -20     2    29  -80    2.972651
 -3375
 -111  -98   69  4  64 -117  378  -47     1.429506  --0.740683 8409  -12   52108  91  421   8881
 -109  432  -2-99  .127080
     6  97   -120   61   -6    -1.792412   -0.941199  -17   -6  377    -64 9726  118    -0.150182  -094
 -109 -118    6 4391    11232243   -3.751455
 -115   -.834063
 -101   41   96.792811  -53  -120.802123  112  -22   -1.217418    72  54    16  -50   -47 496125
  -87  -4    -1.492233  -235  -64   -3     22  53     1.600507  -1.180021
  108  -47 -11      4  -4 5  102    -1.025118  -128
  -492412
    27  -2    -3243436 -100    -0.058565   2.947819
  -98   13 9111     4511-102   0     1.667644  - 0.702337  119    4 5385     648 76    53     0.702337  -3085       1.043 -88  8279
 -0   242  -43     1.388003  -2.153196
  -98   69   4      32  -28  -33     1.420507  -2.515090
 -120   -1 45  4   78   070 -112     0.981804    0.970067   85  -83 4985114  2. 52 1 -109     1.304313  -2.802076
 -110   48 -45      3475145   -370
 -101 3437  -1.064499
  -93   50  -1      10  218   83     0.413577   0.071329
 -102   554  27     -2  472   89 .304313 9319  -1.151215
 -116  -29 00-37   -17   52   -6    -1.39-109  - -98  .815805
    29 - 49  -21  - 40   44     01
  -97  -30.417601  -88   76  - 67   -95 3740   69     0.482128   1     1.285561  -20  -13    -904645    27     0.153625   -0.089056  110    0 32     -102 -2 6   78    -0.698140  -810
 -102 2041  -03   72954  -4  370   89    -0.575963   -0.3757z        -15   76117  31  -51   86.623742
 -112   3.360661
 -110   19   -89    62 7411  119    -0.79-106   42.389535  100  -61  -  83  -10    21  31    -0.55 -86   2109   9
 -118  -21 -23     -59 -608  -67    -2.044739    1.245496  -18    6  -   1  -67  -78  -47.851640
 -109   4    -1.289438  -65   32   -186   102  96    -0.185314  -1.460648
 -110    58 - 68   -71  -38   21     0.718039  -0.781709
 -108   -6 1198    -6648798 -108     0.9 -116  -1     1.713586   -47  35-87  4   141   96     0.962733   -0.193.881646
 -  26  12    -67  72    27    328
 -116  - 1.387015  -87   47 20  59
  09  481  -59.435827
  -96   6    -0.488379  -278   3.00656  -833 -112     0.360343   0.643429
 -109    4 3  44   -78 1 -20  -5    -0.918039    0.177987 0.36385 6   20     88  792  -77     0.097132  -0     .076211
    48  30    -15  -20 -109     0.995118  -0.753125
 -111   -3  --84   -52 - 78  -30.615014
  -88  -0.098908
  -91   -6 2947     0  -512    2.810157
  -97   1.998077
  -85   46  -29    -479 -27  -12     1.437230   -0.899164  -86   35  -12     22 0021  -85     1.350047   253
 -112  457   091   -27  -96  -29  -85    -0.710902   125
  -96  -90  -26 7-17      2   -1   38    -1.298140  -1.560725
 -116   -11    77   -3  089   49     0.146808  -32.547122  120   -1 054     -57 26-6   9 1.443063  056   1    -2 range 119.3   -54  -42   -56  -84     1.572195   00.508.272087
  -21  -66    -4  -065   31.497985
  -96    .660882
  -91   42 7022     4092 -88  87     1.390232  -087
  -87  -91   61  851    10925436  -81     2.257461  -376
 -108  -92    3 9097     2048488   50    -05
 -102  -780
  -96 2644   15   79    -1   619  -44    -0.102546  -170
 -120  -84   11 52  29 -72    40  112.628426
 -109  --1.615850 -109   50 0855   -45   050    0.365990
 -120   -     0.968748  -17  -94    -9  -  10 -15    -1.443063  -0.944280
 -114   31 44      -9599464  101.515095
 -105   0.250206
 -112   -57  45    109  041   84     1.443063  -209
       108    54   2    -96 4302   60     0.305235  -0.036738
  -91    82  08   -111   81  -64    115
 -111  6533
  111  -90  -26  117    116 -36    11    -90
 -120   -.444250
 -111  -39  -15    10281 -45  76    -0.249089  -393
 -119  295   388  -62   51   -92   -266
  -92  -99   5.696901
  -96   30   78     84  666   99     0.390232  -1    -2.295232  - 11  421.4372   727  -77     1.034967   330
 -1.164908  -23  621     855227   -82    -1.640710   1    -0.053027  -117   84  -84   188  -87    -0.568898  2747
 -111 4411   21  -40    114  086   690.305235 2994  -00.053823  -96  - 91   2     900109     9     1.399823  -0.853685
 -111     0  45     2   45   -82    -1.052644   1.257928
  -89   -09  07   -10232  -9  83    -1.69 -96   4    -57
  -88   80 6590     61 -981   86    -0.186434   1.14359    0.688-20  -40     2056410  -46     0.01 -96  -1.550871
 -108  -23 7  71     0 4896   -2.998022
 -107   582
  -92 -112  -43  38      85 1816   21.045788
  -87  -0.101289
 -109   44  -16     9  -168   71.792816
  -86  9823
 -106   18   -6   -96    49 6  10 -57     0.88 -86   879
 -102  105   48  -72   -11126906   86     0.032983   494
 -109 -114  -256  42   --28   11   11     1.140822   2.435827
  -96   62  -12     57  -41  -51    -0.377056   11.084164 6      72   68   -109   72   66    -1.418158  -1.7370.443771
    6   22     62  499   11     0.245528   328
 -0.568814  -26  108     16 1   4 -57     0.486587   2.507596
  -86  -76 97 -1   -26 3  -6  96    -1.031528   003
 -114  106   35 3 112   -26  111   32    -1.060378   049
  -93  -85   43  610    -11  226  -7565
 -109 2503   0.    1.174546  -00   16     64  842  -7765
 -109  379  -2.6
  -87 -106   44 6920     -2  64    47 666366
 -102  -321
 -103  -84   71 84-71   -96   19  102    -0.904824  -2.256490
 -111   44 52  6   -81  245  -17    -0.649691   771
  -83  -85  -81   4705
  47  035   83    -0.43 -96  -360
 -111 -111  -28 -37      -6 -125  -84    -0.482451   051
 -117 -107  -53 7560    -7  -760   20.140440
  -85  --116       0.96 -85  -97     880664  -108    -0.549493  -0    -     -96   44 56  21
  2  -713   47     0.359966   0.013328
 -116  --4  -26     15 -101   21    -1.789127   0.889426
 -104  -59 1708    -22 -184  -82    -0.081046  -21.105227  -83  -17 5436    13   612   77    -1.016708  - 0.293608  106    5  155     84 1020    0     0.682755    -88  08
  -88   21  -80     17  436  102    -1.035351  -1    -0.906046   67  518    16  -421  -85    -0.359966  -0..472663  -87   47 1 -11    -9 9  71   4     0.177987   2.479054
  -91   42  -71     7849983  -8-0.648015   26   1.720979
 -107   109  61    112     5  84    -05
  -85  --1.487407   85  -84 55   6   40  135   36     2.466245   667
  -88  -87   68  130    -6719784  -21     0.339956  - 2.263899   05    3 21 -6   -96 0009   -4     0.377784   0    -1.09-109   35 68-27   38  -941 -109     0.564365  -086
  -93 -105  -58    -8   -68 3368 -105    -0.117810   1.934918
 -114  - 7  -77    60   363   -5    -0.824893  -5537  -    0.697-83     0   -42    -  102     1.172234  -1.2491.542296
  -35  -44     3   203   50     1.364594   1.5
 -111  -97  -32 4937     03   12   22     0.624175  -2    -1.313566   -40 -180.7905  -320  -60    -0.521673  -2.698507
 -112  -27  -35    -47 -482   77    -0.070202   200
 -103  102    5 4 84    -33 4486  -57 .308050  -96  -634
 -109 -117    6  6      -42-27 3   96    -1.756864  -479
 -102 1.7374-27  -70     86 -44  -108 6
  -91 9258   1.489924
 -119   -47 -62     66  -35   54    -0.002506   1.703164
 1160  -0.  -16     76  436  -20    -0.022157   -0.417601  -85   78 4022.013937  -63   -5     0.912646   0-83       .8513 -24  73    -9603  21  12    -0.736652  -2.483679
  -88   16 2 -22   -5957730  111     0.239214   3.096327
  -85  -66  -67    -11  -08  -87 378266
 -103  -5    -0.159132   273  29     603120   -26    -0.298151  -2     0.150719  -036  65    -8310428   38    -0.172292  -0.644620
 -107   53 6  -6   -20 1609  -41    -1.517197  -1..36919
 -112  -16 94  28 -54   936   30    -1.366695  -0.430206
 -118   -7   23    -1   409   46.089881
  -96   0.000842
  -91  --17  21     10   20  -61    -0.382266   0.415887
  -84   78  -81    -811 -4    29     2.42667
  -1.635195
  -96  -10   51     87    31 -61     0.619258   1.830351
 -117  - 49   60    41   46   88    -1.232506   1.257928
  -89   -9 2396     86 0516  -21.595507
  -96   3     0.011506  --10   -10 -108  -96   48    -0.38-116  -2     0.351860   26  -40    -9255718   69     1.220949  -0.251054
  -83  --89  29     27 -141  -64    -0.824602   2.541711
  -98  -13  84     -34412 6   69    -1.125167   0.219805
 -113   27  6  54 -114   -6   40    -0.111057   1.944280
  -90   52 7529     78  -71 -100     0.110359  -0.013932
 3384   072   4     -361768   88     0.111057   10.053823 280
    72   0    84     -1  40    -1.672385    2.466245 2843   27  -87    -53  820  101     1.133172   087
  -87  100   61 9  41   -10   20   68    -09
  -91  -41.091492  -07   12 7859    -01  016  109    -2.389535  - 0.801.004882
   52  -69    11867149   11     1.004043   229
  -2
  -96  -33 6222     09   43   -5    -0.101577    0.196963  -99   57   20   -10179676   86.333773
  -88   1    -0.730347   25   16    -571 21    57 601777
  -85   7.786436
  -91   82  -48     78  413   64 998857
  -92  -027
 -.036533
  -30  -62   -108  66    42    -1.615850   0..540195 2994  -04   41     1524178   84    -1.634126  -170
 -120  -84   11   -6    -49 5997   68    -0.873191   6     0.634965   1 7    12 -21    -87  40     0.011750   532
 -117  -91    6  45     --4  673  -85    -0.576649  -692
 -109  -83   67  -22    118112 6  -35    -0.232041  -1.952544
 -108   23 3  -5   -49  -91  119.337599
  -96  --114  .1335-92   38  616749  9   8 9   80    -0.406423   0.944280
  -90   52   40     40  410   89    -0.181713   062
  -83 -102    77  -0     0   483  -17    -0.348980  38     1.164909   61   12   -10608627  113.246216
 -108   256
  -91 -103   45  96     -67-83 8  -67    -2.676289   1.242957
  -88   11  -49    -56  184   27     2.749782    -81  -    1.304 -25  86    -10  9 1   40    -0.790205   002
 -114 -103  -465  1954
  -6  -46   -2     0.141471  -0     38
  -87   36   30     -647  6  -20    -0.508777   079
  -88  111   41 7292     -370849  -61.081276
 -114  -2    -1.572195   -40    -6  57    -21 -57     0.676289   123
  -84 0654   23  -60     21 -644  -91.137402
  -96  -7.297292
 -110  -50   96     872   9   45     0.259638  -285
  -96  -84  -71 7 -72   -16 5007  -53    -1.100860    -81  0.640487   134  46    -5681  8 -105    379
  -96  -439
 -114  -96  -44  -36    -59 -5 3   64    -0.551398   2.691377
  -88  -48  10      4652312  -16    -0.103549  -240
 -101  -87   30   22    112 9-61   91    -0.782120  -1    -0.211985   -47  45    -0    -10  30    -0.053027  -561
  -90  111   44 7187    -4362298   68     0.726924  -0.153798
  -81  --78  -85   -57 8911 -100    -1.177256  -1.977708
  -83   88  -27     49  550 -112    -1.978334  -1.833147
 -119  -85   53     78    46-109    -0.746725   2.459656
  -91  - -6 -22    -15     8  23    -1.112096  -042
  94
 -117   -64    2  -28  -726   76     0.248531   278
 -120  -91   42  556    -85  -36 -111     0.76 -79   80.211985  -80  -89  814   -10881  20-111     0.319531   1.703164
 -114  -32  -31.817435    13 -53    -1.01 -79   2.947819
 -107   103    0   -75  919   13    -1.533335   2    -1.040264  -103  96    -09   10  -29     0.313406    0.486.4431111   482  33     -6 -40   -96     1.034418  -2    -1.698733   11  -66     95367    -40     0.775537  -1    -1.125167    23  31     16  783 -103     0.156396   0    -0.406423   109  34     3  -  -6  68     1.871735   2.   -0.901584  -15  -00     2  -432  -90    -0.595694  -0.903996
 -106    56   587
 -85  973   -6     1.6 -0.6147179
 -112  -83  -85 -43     109 -19   102    7    -0.4728542
  -85  108   -10  18    -5   658   88    -0.802123   7    -0.822153   -92  69     8417-60   88    -0.156396   -1.487407   82   69 1170     62  892  -77.275050
  -95   -.934013
 8667   20   16   -101 52     -5   8055
  -92   3.344499
 -109  -566  84   -1006-35   -37     0.663441    0.262925 -111   28 -27      -6 -0 6   78     0.533335   2.    0.204689  -26   - 0.1461  - -10  88    -1.093430   -114      --78  -91 7  84    50 3 -26 -16     0.777698   161
 -101  515  -1.   87     8084  -4 102     0.465304  -2.730887
 --96  --40  66    -8508156  -44    -0.440794  -0.678009
 -109  -110  96-98  6  -956   78     1.37 -79   3.130376
 -108  -211  35    -1119  8  -47     0.977666   00.211.5404108  -36 4 -40    4881084   84     0.737576  -2.614675
  -88   27  -42778  96  -07  -54    -0.614737   2     36
  -80    9  -26     535 52    -6     0.397174  -075
 -116  -99   41 98-44  -52   -96    1     1.182843   215
 -112  -92  -77  -92    -30 6063  -12     0.737637   833
  59
  -92   -2  -47    -729  91   23 868316
  -95   7    -2.059181  -288  17      227  7   -6    -0.795039   1.448087
  -87  - -9  03    --2   73   43    -2.946750   -0.257322  -93  -50  923     3381280  102 851836
  -78   51.515   phik
 - 16   68    -162 30    50     1.647410   108
  -93  -96  -65 5  33    63-26 8  -84     0.857550   0.968374
  -98    40  12    -7738  8   78     1.647410  85314  .006575
   45  -65   -1077-64   -87     0.351860   238
  -87 -114  -31 2  -2   -42    43 -62     2.946750   202
  -81 6515   12   7830
 -56 -26    10    -0.898151  -20.312682  -80  -16  -84    -52 8566   -5    -0.494417   1.297292
 -102    5 09-83   -59 -835   36    -0.740683   0     0.015741   -62  -8    116 -402   -6 .624175  -84  -5.726397
  -79  -81 572     11826  83  81    -0.84 -85  -150
 -15
  -80   -9  -32    -10  909   46     0.309778  --2.028602  -78   56 6  34    96  215   22     0.132451  -1.644730
 -101  - -5  02.474230    -3-107     0.082463   136
 -118   92  -77  5-81   85  -339  116     0.443002   1     0.688436  -109   4   -16    -6 -106     0.065845  -1.    1.055114   -6   -4     71  768  -48    -0.674289  -881
  -81  319  -181  50      5   01   45    -0.728353   0.243626
  -91   35   20     47   26  -81     0.36-114   203
 -107  109   41  868   -108   62  -40    -0.826278   -1.177256 -109  -35 90371.6960   7 6   69    -0.960518   1.197532
 -117   38  -33   -147   88   76     0.053823  - 0.863545  120    0 5730   -117  257   44     0.472671  -2.881646
 -116  -29 7-40    -9139 -27  10    -0.335547   101
 -109 9852  -265  93     209   0   -6     0.171260   2.87611.396813   00   2 1.43785  535   -4    -0.070593  54    -1.052644   13  -49   -1193   8   10     1.229577  -0.869654
 -100  -26 944915
  -   220  -89 9
  -91 -118   -    -1.177256  - -2  57    77      1-117    -0.699535  -0.    0.424303  -14  -25    -87 5909  -41    -1.090310  36    -1.12 -80  -16 17  10 -26  -231   86    -0.417601   2.5496.158905
   -47  11    -01  921   66 4
 -116  -87   4.053506
  -96  -72 31       918 -85  104 4
 -116   12  -3.0804     2.257 72    0    -10 0428   78 0
  -84  -84   1-99       -93  -50  -11     -526672  -96 0
  -84  -84   170
  -80  -84   64  2  48  52    48   76     0.909852    -85  01
  -96    40 -11     91 93 9  104     0.058123  -1     0.794894  -44  -44    29  -409   30.344490
  -82  -388
  -92  112   -3 5391    83  -358   21     0.05-102        -0.399524   -47 -16     -6 9  4   -4 6
 -118 -102   2.926630
  -98    21  27     26-27 3  -88 6
 -118  652   082
  -81  -77   68   11.466688  356   72.379971
47312   0.9079     0.69  33  -59    117  268  -62 379971
  -86  -3    -0.513873  -48   84     7   294  -21.344499
  -84   1.858216
  -85   37   13    -112792   -77     95
  -78   2.545216
  -86   24   15     -4 3173  -68    6    -0.150 4     0.857550   276  -5    108   41 -109     0.800725  -028
  -86 -116   10  401     63  -71  -66         -1.810-2.091166
  -88   -96 975    -55  -42   20    -0.000725  -003
 -12050719  -009  11108  47  863   97in the range 1196    -0.16 -86   76 3681    -69  211  -66     1.484679   1    -0.084199   -89  20   -11843052   36     0.147312   0.084608
  -88   -98   5    -61  -08  -47    -1.273956   009
  -96  -89   80  62     -41 4 35  -66     1.328094  7928
  -89  114  -27 5        98   -3  -57    -05
  -98   287
  -95  102    5 8158    -95 -612  -90    -0.906046    -78      -1.465  73  44    -95    54 -66     0.528974  -2    -0.134694  -166  -1    -265   1  -80    -0.909852  -hik
 -120  -80   89  -93     85  -49 -114    -0.328123  - 0.059-84  114   396     5  10  -698  -87.019198
  -91   393
  -98  -77   88  1   1  -27   66   94    -0.476801  -1     0.173405   -24   -52  16  -885   310.209475  -87   4     8   -0.813  3   55   -1091-25   -90    -0.828365  -4119  -1
 -119   -4 3298    13  -698   2199
  -84  -92   6    -0.186434   134 -88     15    28   1    -0.14 -84   1.272233
 -112   16  -86    -2691352  100.918658
  -90  -218
 -118 -109   -65   977
 -11   81   20.918658
  -84  1083
  -92 8723  -052 -71    -57  -86  -35.948912
 -112   -0.10270
  -92    2   -59   79  -083   96.436666
 -111   23    04
  -84   852  86   -50    48   88    -.737358
    1.58115
  -87  -109  -91    7  9656   42     0.421136  -0.5
  -86  -77   68 6-15    -96  246  -44 8
  -89  -96    1.621941  -83   85   6 1.5153  -316  -80 8
  -89 4761  -0     0.015741   28  -67     6  -  56 -20     20
  -84   060
  -96  -84   48   33     4184  8   78.084123
  -80  -4.830458
 -114  -26 3897     37   98  -13 .15018238899  -2.989348
  -88  -51  -   3   0   777    3     1.0 -109  -5     .867229
    -2  98      0  444  -37 446075
  -96   1     2.263899   -3   -88    64 9 -57  96     1.1 -119   1.582972
 -113  -72  -58   -45  -64   -79    1.737358
 30621
 -108 6725   06   46     50 -116  -40     0.631260   2.    1.304313  - -1  15      428-44   64    -0.114335  -3     1.140822   72    6    -63 45 8  -48 .659309  482  -1.    0.624175  -92    6    -6  -536  -81.887456
  -77   7     0.799393  -02     -2 -87   711 -119 197532
  -91  -4.814911
 -109   14  -35     62   33  10395
  -78 -120   -.410340
  -75   -40  83     1      3 -80     0.006241  - 0.933917   03  -30   9022
 -99  -65   31.807479
  -96  -742
  -91  -97  -32   -2     715  92   57 807479
 -102  -6.452993
  -87  -37   53     2637896  -7179
  -7
  -09   35623742
 -112   36   13    -6  -896   86     1.57 -79   4     0.031620  -258 -17    -52 -823 -103 131374
 -113   3.094385
  -83  -509  27    -96   00  -77    -2.60 -96   -.829809
  -96   -2 8-46    -9070585   4311
 -103 -109  -123
 -105  -89   828   8    -4792252 -10211
 -103  573  -0    179
 -108  - 17   -89  -57  35   120     01
  -84   6     0.053823  -33   19     -659 -90 -19     0.75-104  -5ez        rk      0  -78  -37   220    1 3
 -11977056   2.656261
  -96   548  -3   -140  11   -60     .828337
  20    -0.512757  - 40 -10     7   360  102.218423
 -105  -1     0.075371   26  -25    -3331166 -108.218423
18158  -0.8991.333844
  -16   52    -63  304  -19    081
  -84    1.020330  109   29  46     -30  161 -119     0.63 -86  -8.082043
  -84   81   -6    -24   85   42    203
 -114        -0.546824  -065  33     2   108   38.003006
 -116   -0.232041  -82  -54  64 0.790-5   09   50.203458
 -113   3    -1.915301   35     50   5   614  -26.829809
  -96   496
 -111  108  -24   31     6755 60   90     1.576995    1.322911  119   68   64   -1195  -5   88     0.823645  - 0.141471 -102  -52 -31      9930  4   91    479
  -96  -7.677272
  -83  -17 -26    -1036  -8   55    0.506909
  2638
  -79 -120    9   12   -10240 112 116 337908
  -86   6    -0.280591   70  -52    -4302928    6 .260004  -85   7     0.853306  -26  -32     8345  4   34 6
 -109 1750   177
  -85  -85   78 0281    72  - -32  47    -0.416176   2.318710
 -101   51  47      57  623   5787
 -109  -76   3.427141
 -118    50 - 89  -120   -2   43.921090
 -109   4.6574.948912
   28  837     85  413  -62     24
  -96   8     2.092977  -06   34     4  -708  -2359
  -91 6057   0..855005  -89   72   -88     2   86   -5 018224
  -96   0.885455
  -92    4   -8   -101   78  112    473
 -104   5.061535
  -88  - 6   98    52   772   89.533225
  -80  -494
 -117  -90  -75 07   9 -109  590  -27 .751498 -103   45    0.262925   06   28    -3   831   2198
 -0.414069  -2.286942
  -78  -507   0     -4   77    2    487
  -83   -109   5
  -78  -85  -38    -15  637  -62 8
 -103 -102   -.380619
 -113  -30  -24   -114 -666  -98    2.138238
   2.457142
  112   16   -5     12 -181  -861.114650 4283  -1.   -0.08 -78   91 1946    192    -3  50     0.05 -80  -16    0.718039  -0 0   4    -50 -102   66.210505
  -92  -2.889802
  -83  -67  9-17    40  866   42.210505
 0626   2.549721
  -77   36  -741.5158   857   6475
 -109  -88   3    -1.511954  -22   41    -7  -110   6475
 -109  114  -2.1343.573723
  -80   15    -2636 -22 -52    -25
  -96   196
  -96 -117   22  -24    -3700252   36    -0.010393   2   phik
 -120   -2 11     -108   98   62.725325
  -96   5     0.022759   -56  280.1024  -346  -9862
  -80  -96   175
  -88  -97   32  -63    -442-38   -32    053
  -88   7.658110
 -115  -34 6  -25  44  -382    2     0.655067  -2    -0.003923  -26   27     26  -90  11328
  -75 3046  -2.719268
  -85   43   10    -84-61 4   -4.028428
  -89  -8     0.110940   04  -14    12  -945  -90.112524
 4283  -1.8
  -95  -96  -31 9701     37 -345  -64.112524
  -84   8.540452
  -88   66 -109    -43112 6   80.001553
 -102   225
  .025813
   79    -88  -17  890  -87 .156396  678   0.2
  -92 3512  -34  -751.2740   457   84.130621
 -108  - 0.591432  -88  -77 046021
  -6  -72   89.130621
  -72   2.116328
 -108   372   -13 -31  -449   61.633393
  -79   425
  -99  -97  -32 0  13   -84 -3   -111    -0.953384   0.112266
 -109    -5  20     77  65  -111    -    -0.75207     0.097132  -082    -7   89     -   0     0.1 -109  -51.492989  -77   -3 3633     12  -61   -625
 -109ange 119..468529
  -72  -92     -5   64  -36  112     0.4 -109  -5     0.313406   078  -5    -57 11 8   -604
  -72 0821  -2.846865
  -89  -66      1  -62  -66   8604
  -72  985   1.390083
 -107  -185  -1     40486     -1    -.731261
  55005  107  -78  -24 9640    -1635  1   91 .579561  108  -380
  -99  -85  -83 5 -96   -81 31    112    553
 -102   2    -1.349212    2  -92    17  -684  -840.017537       1992
  -82  423   087     5   50  188   7866
 -100 -111   4.574715
  -83   24  -75    -40 -886    6 6
 -100  809   0.894343
  -96  -64 1-33    -17 2  40  16    -.8747100   6    -0.751498   -78   4     11721     67     95
 -115   -1.487    -0.55 -88      2   11    84  16    0.3059181   1.744645
  -85  -43 1826     75  4-1   -6     0.31-108   2.610228
  -92  -72   54   -122   40   -1 3
 -108 -111   4.477216
 -120    92  07     2946116   13     0.786786  -1     0.638085  -26   57     8065  -3 -20 8
 -114 -120    .604743
 -114  -96    26    21   49 -10109
 -112  -78  -91961198
 -101  - 38  10   -115   93   96.085255
 -117  --0.483457     kx   ky  5     55-70 9  -41 687206
  -86   219
  -85  -85   11 1  -96  36   -41 -106     73
 -105   948
 -109  -96   57 -25      918  -9   56 .997581  -85  -73   -0.406423   02  -  52  -47  752  -90.127080
 3441   0-84  .993330
 --64   10   - 65  814  -37.127080
